year,CanESM5,E3SM,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,HadGEM3-GC31-LL,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM,UKESM1-0-LL
1947,-0.554125469692192,-0.6503614488632847,-0.34933542017175856,-0.2512170814104579,-0.4626902458388807,-0.5528523822636128,-0.24089391225644335,-0.3708126692244084,-0.4609705853282803,-0.4583586079064481,-0.6979614362195831
1948,-0.5797337618135568,-0.6904073339507654,-0.36921976075968077,-0.27615351035444546,-0.5005893585415755,-0.5786107211951553,-0.2526930349128639,-0.3956265786208474,-0.4902929650054282,-0.4844408344945188,-0.7238741293429811
1949,-0.570076078211984,-0.6847308077140369,-0.36026746315874336,-0.2866451925385104,-0.5137852291796522,-0.5631132360279824,-0.24147760114793143,-0.3969384021929303,-0.4810333986889366,-0.46912254168107814,-0.7038754309584461
1950,-0.6306929728537144,-0.7787643189836212,-0.4094480907518191,-0.34862068661803003,-0.6054954256473578,-0.6253287629088056,-0.2680120763287239,-0.45523912934050803,-0.5516205482871674,-0.5315638103214587,-0.7669995579140673
1951,-0.6289468464151644,-0.7482468646639782,-0.4115511373317183,-0.2956711495746914,-0.5341179204594851,-0.6374393866278085,-0.28144017793792553,-0.42485541681883854,-0.5422698989110951,-0.5408413721807169,-0.7899411397990693
1952,-0.6422106285967469,-0.7743459800141572,-0.4218782605493909,-0.32029640514609553,-0.5692658365831362,-0.6481919049408189,-0.2839742691314489,-0.4435558312773773,-0.5593217334138922,-0.5522233225832335,-0.7984746837290005
1953,-0.6589775383950263,-0.8072098024671635,-0.4352642463919727,-0.3466050443810836,-0.6064260592537523,-0.6633675010506064,-0.2906691712288175,-0.4655832864534982,-0.5819552594611492,-0.569639561871033,-0.8114519177622448
1954,-0.6616574748182956,-0.8127647638549504,-0.4374473049967059,-0.34510237661339294,-0.6042088747649035,-0.6673409027341655,-0.2960358166985244,-0.46758813723256104,-0.5867995221036852,-0.575879987951675,-0.8155573513060451
1955,-0.7057873825682384,-0.8690873714626698,-0.4773533196475565,-0.3691378766596773,-0.6420010615374826,-0.720052276456093,-0.3224357726710232,-0.49729002492713187,-0.6377273417350763,-0.6294746693949526,-0.8723457833872891
1956,-0.7539793176758821,-0.9519152280011304,-0.5205938761893933,-0.4284797508474581,-0.7247842213595193,-0.7708265804785148,-0.34642575581460816,-0.5489394864907,-0.7026946161367176,-0.6865023010740443,-0.9207528081271725
1957,-0.7882562119568487,-1.0173253288474735,-0.5522954023426622,-0.47920516271277813,-0.7926143518738078,-0.8063473300120672,-0.3639513572555879,-0.590550430269254,-0.7532732580066561,-0.7291424040290919,-0.953146511966609
1958,-0.7767282937390219,-0.9774041723990039,-0.5432434483722717,-0.41472831654404774,-0.7076969784846128,-0.8057064882186528,-0.3768521019393453,-0.5547234749840603,-0.7333445045874529,-0.7291427630215204,-0.9598012879672632
1959,-0.8016708225447262,-1.009766401712861,-0.5677620644337295,-0.4226038527400101,-0.7202510516388256,-0.838198284056806,-0.39776491843563055,-0.5697092968798592,-0.765911755060515,-0.7663543218781288,-0.9940338688016913
1960,-0.8224705271266766,-1.0371219146984394,-0.5884782067176244,-0.4305906381543494,-0.7325498580345726,-0.8650975099504565,-0.41476236147102574,-0.5827343127339571,-0.7934571008471754,-0.7974027912660286,-1.0220152931584843
1961,-0.9120812225869308,-1.1719654097924062,-0.6775354633397521,-0.5559114382697737,-0.9077887533999913,-0.9595927284430239,-0.4393025730091568,-0.6721576565380019,-0.909046384343728,-0.8948086846713735,-1.1117854508125262
1962,-0.9171707042173735,-1.165110043874426,-0.6835012379866623,-0.5313700580513434,-0.8777587993455458,-0.9716383025500599,-0.4508520141981196,-0.6618463459422617,-0.9116874832393951,-0.9077209857555173,-1.1269371076450907
1963,-0.9552476105290358,-1.2503375443072595,-0.7223251476792901,-0.6294150854891726,-1.0046306786240637,-1.0049674293306,-0.45548618515404937,-0.724080805585742,-0.974733092632149,-0.9488379183055703,-1.15259451509296
1964,-0.961775926062444,-1.219303424564214,-0.7300552321735803,-0.5658425049153611,-0.9292845164342856,-1.0252494477301324,-0.4732188514978921,-0.6925003681083142,-0.9676759753306974,-0.9654137647874415,-1.1803365757843642
1965,-0.9804923858088881,-1.2478734346798872,-0.7496488012782178,-0.5922456663093788,-0.9656767527297225,-1.0455411445289426,-0.47947597225941585,-0.711220946323628,-0.9934716947301231,-0.9879121199004303,-1.1991867085293155
1966,-0.99368334030998,-1.2616607542753018,-0.7639011715864172,-0.595588745984803,-0.9719317552228126,-1.0630516518842237,-0.4893575443189364,-0.7173238484527567,-1.0102549111165127,-1.0079072941618044,-1.217010899500594
1967,-0.9961023017633817,-1.285422477144399,-0.7662856902968072,-0.6329925892702055,-1.0172246120855315,-1.0599473059790903,-0.48398553582960185,-0.7378028895922142,-1.0221083935600035,-1.0079570534138025,-1.2102292254984568
1968,-1.0161685534749507,-1.298593087892818,-0.7882163781786503,-0.625362603823015,-1.0116586600994564,-1.088778024153103,-0.5012718980793128,-0.7401858974591471,-1.0445360978447806,-1.0396249775769282,-1.2407833580980174
1969,-1.0287628802953561,-1.3038274297518266,-0.802452834980567,-0.6085543246106166,-0.992242274011919,-1.1096679718959406,-0.5182629581799714,-0.7369455511129509,-1.0591022107559467,-1.0646030986675443,-1.2634276980046293
1970,-1.0702390129237904,-1.3711251991902431,-0.8483459619954694,-0.6638854705718672,-1.0658345064558126,-1.157499689846548,-0.5403173601402957,-0.7786660282655609,-1.123254596236274,-1.1244486085780707,-1.307351382407576
1971,-1.0727277543813059,-1.384254097374236,-0.8519999319520163,-0.6717833257588298,-1.0728649166711515,-1.1612247588988214,-0.5473131412115444,-0.7860008641740658,-1.1341013862210163,-1.1345251970023016,-1.3100198524643467
1972,-1.1085197925210288,-1.4736506010694792,-0.8933518164230917,-0.776296344992477,-1.2014867151646311,-1.1947510631563905,-0.5562386768370483,-0.8501215324017725,-1.2049892613565942,-1.1835189861547206,-1.335611825036986
1973,-1.12637595675122,-1.4615289437528873,-0.9134849421817604,-0.7224641631505918,-1.1409587909868626,-1.2281822788289352,-0.5840446359535778,-0.8294847066727143,-1.2167790545177062,-1.2201237543368246,-1.3732857937317688
1974,-1.1144572742185297,-1.4501229949306325,-0.9005746596731263,-0.7111047744452499,-1.1231210557299067,-1.2147607407166903,-0.5817321439773249,-0.821967703019119,-1.2035759510332302,-1.207173986172366,-1.3604012994961086
1975,-1.095279810732312,-1.4184182636928115,-0.8793378672834912,-0.6730045709581608,-1.0722255523158504,-1.1955979376742705,-0.5796080100199413,-0.798986304228549,-1.175447182956895,-1.1857170984411045,-1.3437357075650915
1976,-1.1362406417343487,-1.4968117055878953,-0.9273786835092387,-0.7464101648516561,-1.1641272450001932,-1.2420293753640044,-0.6017530887940629,-0.8495041005538726,-1.2483147976998925,-1.249758518725013,-1.3846015830449112
1977,-1.1406157242808033,-1.5045858509277388,-0.9333988195627814,-0.7430759890548377,-1.158165772862566,-1.2502370516023413,-0.612248509697465,-0.8513118642587378,-1.2588020558363393,-1.2640385848122861,-1.3927426475974007
1978,-1.1433169978914317,-1.523087953812786,-0.938427935851208,-0.7554182829071225,-1.1681390350118543,-1.2549224723998356,-0.622088194813285,-0.8616410338597864,-1.2745465751321485,-1.2784407176196377,-1.3960505959375902
1979,-1.1552853010331015,-1.5436884025836604,-0.9531588513143745,-0.7689409755760416,-1.1842961040631987,-1.2705743156025797,-0.6327957225808138,-0.8730339441012718,-1.2965597321355324,-1.3011451886259782,-1.4105760012763269
1980,-1.1529992773431812,-1.5398288932734008,-0.9499648148776697,-0.7708992791585669,-1.1876807504034792,-1.2662288916365299,-0.6272798383332914,-0.8722482400736654,-1.2911082440816282,-1.2936118259373717,-1.4062445458241801
1981,-1.1264491494540543,-1.4989785637744981,-0.9190239543565095,-0.7327770876735408,-1.1376024186864013,-1.2354669006047163,-0.6151986954316873,-0.8462286640907145,-1.2496019524071302,-1.255069779455996,-1.3780618251201937
1982,-1.1331976090538047,-1.569957598706478,-0.9295330912989932,-0.845011440327355,-1.2649242340305449,-1.230065928379599,-0.6029264745257965,-0.9049650950907895,-1.2901283564159463,-1.2618372619321234,-1.3641875793057534
1983,-1.096368478020811,-1.4545573657906345,-0.8851741637187638,-0.6840399094211901,-1.0716936455826434,-1.2030723206503184,-0.6082678447825882,-0.8156557760683949,-1.2066229269882227,-1.2184497403910948,-1.3486525325760184
1984,-1.1082566081655414,-1.4879141804370632,-0.9001503811083642,-0.7163779983436526,-1.1085525747438998,-1.2163273664615257,-0.6173796364799716,-0.837368536877852,-1.2349742737469198,-1.2414262450735825,-1.3592760633939247
1985,-1.1118796943254914,-1.5030657287236338,-0.9051663550385622,-0.7321727699209237,-1.125614631352167,-1.2200533461277243,-0.6208665185884344,-0.8475170032175656,-1.2468332195792362,-1.2500211425207142,-1.361673419980134
1986,-1.1103930355808684,-1.504369236965413,-0.9042462098598716,-0.7280167016536199,-1.1180526778429338,-1.2199719631988377,-0.6255584900998619,-0.8467334200738877,-1.2485643890021956,-1.2534323453239187,-1.361637648048991
1987,-1.1314896328353194,-1.5572342040144176,-0.9302562428808472,-0.7880727047832768,-1.1892000565248997,-1.2416235123814305,-0.633854514064851,-0.8834005502693043,-1.293184477052653,-1.2866790038461429,-1.379023196478582
